osm_id,code,fclass,name,type,area
"140664956","1500",building,,apartments,"641"
"140664958","1500",building,,apartments,"280"
"140664959","1500",building,,apartments,"654"
"140664960","1500",building,,,"408"
"140664962","1500",building,,school,"3567"
"140664964","1500",building,,residential,"308"
"140664966","1500",building,,apartments,"477"
"140664968","1500",building,,apartments,"552"
"140664970","1500",building,,apartments,"656"
"140664971","1500",building,,apartments,"413"
"140664973","1500",building,,,"128"
"140664974","1500",building,,,"141"
"140664976","1500",building,,apartments,"101"
"140672836","1500",building,,,"333"
"140672844","1500",building,,apartments,"586"
"140672846","1500",building,,,"458"
"140672849","1500",building,,apartments,"247"
"140672850","1500",building,,,"160"
"140672853","1500",building,Ex Teatro Elena,,"1171"
"140674641","1500",building,,,"601"
"140674643","1500",building,,apartments,"571"
"140674645","1500",building,,apartments,"267"
"140674648","1500",building,,apartments,"686"
"140674650","1500",building,,,"576"
"140674653","1500",building,,apartments,"419"
"140674656","1500",building,,apartments,"305"
"140674658","1500",building,,apartments,"791"
"140674660","1500",building,,apartments,"158"
"140674662","1500",building,,apartments,"345"
"140674664","1500",building,,apartments,"820"
"140674665","1500",building,,apartments,"904"
"140675403","1500",building,,,"461"
"140675406","1500",building,,apartments,"219"
"140675407","1500",building,,house,"217"
"140675408","1500",building,,,"168"
"140675410","1500",building,,school,"1176"
"140675411","1500",building,,school,"1673"
"140675413","1500",building,,residential,"321"
"140675415","1500",building,,,"542"
"140675416","1500",building,,,"274"
"140675418","1500",building,,,"235"
"140677032","1500",building,,apartments,"511"
"140677033","1500",building,,office,"817"
"140677034","1500",building,,office,"1327"
"140677036","1500",building,,,"352"
"140677038","1500",building,Eni,office,"1737"
"140677039","1500",building,Concordia Hotel Milano Sesto,hotel,"1228"
"140677041","1500",building,,apartments,"411"
"140677042","1500",building,,,"127"
"140677044","1500",building,Coca-Cola,office,"1142"
"140677045","1500",building,,office,"756"
"140712780","1500",building,,,"354"
"140712797","1500",building,,apartments,"450"
"140714373","1500",building,,apartments,"348"
"140714378","1500",building,,,"89"
"140714379","1500",building,,apartments,"718"
"140714385","1500",building,,,"655"
"140719502","1500",building,,,"314"
"140719504","1500",building,,apartments,"389"
"140719506","1500",building,,residential,"343"
"140719507","1500",building,,,"1331"
"140719509","1500",building,,,"466"
"140719518","1500",building,,apartments,"592"
"140719519","1500",building,,apartments,"645"
"140719520","1500",building,,school,"2830"
"140728124","1500",building,,,"749"
"140728125","1500",building,,,"1375"
"140728126","1500",building,,apartments,"788"
"140728127","1500",building,,apartments,"675"
"140728128","1500",building,,apartments,"410"
"140728129","1500",building,,,"1706"
"140728130","1500",building,,,"1301"
"140728131","1500",building,,apartments,"637"
"140728132","1500",building,,,"281"
"140728133","1500",building,,,"276"
"140728660","1500",building,,apartments,"488"
"140728663","1500",building,,apartments,"238"
"140728664","1500",building,,apartments,"481"
"140731113","1500",building,,apartments,"767"
"140731116","1500",building,,,"1436"
"140731764","1500",building,,,"83"
"140731765","1500",building,,,"854"
"140731770","1500",building,,,"383"
"140733269","1500",building,,apartments,"515"
"140733273","1500",building,,apartments,"615"
"140733276","1500",building,,apartments,"1170"
"140733423","1500",building,,retail,"1848"
"140739096","1500",building,,,"918"
"140740437","1500",building,,,"1186"
"140740438","1500",building,,,"339"
"140740439","1500",building,,,"426"
"140740441","1500",building,,,"261"
"140740444","1500",building,,,"266"
"140740448","1500",building,,apartments,"299"
"140740449","1500",building,,apartments,"382"
"140742308","1500",building,,,"391"
"140742309","1500",building,,,"3885"
"140742312","1500",building,,,"641"
"140742316","1500",building,,,"228"
"140742317","1500",building,,industrial,"1659"
"140742318","1500",building,,,"159"
"140753602","1500",building,,,"1782"
"140753603","1500",building,,apartments,"1268"
"140754043","1500",building,Chiesa di Santa Maria Assunta,church,"671"
"140754044","1500",building,,school,"526"
"2073872","1500",building,,,"2535"
"141270317","1500",building,,,"81"
"141270318","1500",building,,,"559"
"141270963","1500",building,,,"179"
"141270965","1500",building,,apartments,"731"
"141270967","1500",building,,,"333"
"141270969","1500",building,,apartments,"1099"
"141270972","1500",building,,,"179"
"141270973","1500",building,,,"189"
"141270975","1500",building,,,"136"
"141271703","1500",building,,apartments,"506"
"141271704","1500",building,,apartments,"441"
"141271705","1500",building,,apartments,"185"
"141271706","1500",building,,,"144"
"141271707","1500",building,,residential,"142"
"141271777","1500",building,,apartments,"251"
"141271778","1500",building,,apartments,"587"
"141271779","1500",building,,house,"120"
"141271780","1500",building,,apartments,"581"
"141271781","1500",building,,,"82"
"141516055","1500",building,,apartments,"387"
"141516057","1500",building,,,"511"
"141516060","1500",building,,apartments,"491"
"141516061","1500",building,,apartments,"402"
"141516215","1500",building,,apartments,"602"
"141516216","1500",building,,apartments,"593"
"141516217","1500",building,Guardia di Finanza,public,"746"
"141516360","1500",building,,residential,"213"
"141516362","1500",building,,,"56"
"141516363","1500",building,,residential,"129"
"141516364","1500",building,,residential,"153"
"141516724","1500",building,,apartments,"677"
"141516725","1500",building,,apartments,"473"
"141516726","1500",building,,apartments,"475"
"141516804","1500",building,,apartments,"567"
"141516805","1500",building,,apartments,"609"
"141516807","1500",building,,apartments,"948"
"141517461","1500",building,,apartments,"450"
"141517558","1500",building,,apartments,"401"
"141517559","1500",building,,apartments,"392"
"141517560","1500",building,,apartments,"389"
"141517584","1500",building,,apartments,"411"
"141517673","1500",building,,apartments,"292"
"141517674","1500",building,,apartments,"307"
"141517675","1500",building,,apartments,"293"
"141517676","1500",building,,apartments,"300"
"141518049","1500",building,,apartments,"205"
"142367576","1500",building,,apartments,"570"
"142367577","1500",building,,apartments,"565"
"142367578","1500",building,,residential,"441"
"142367582","1500",building,,apartments,"1077"
"142367583","1500",building,,apartments,"429"
"142367584","1500",building,,apartments,"581"
"142367587","1500",building,,apartments,"440"
"142367861","1500",building,,apartments,"831"
"142367862","1500",building,,retail,"569"
"142367863","1500",building,,apartments,"319"
"142367864","1500",building,,apartments,"317"
"142370642","1500",building,,apartments,"581"
"142371138","1500",building,,residential,"198"
"142371722","1500",building,,apartments,"200"
"142371725","1500",building,,apartments,"302"
"142371726","1500",building,,,"538"
"142371728","1500",building,,,"459"
"142371815","1500",building,,residential,"207"
"142371816","1500",building,,,"108"
"142371817","1500",building,,,"122"
"142371818","1500",building,,residential,"167"
"142371819","1500",building,,,"543"
"142372521","1500",building,,,"127"
"142372522","1500",building,,,"135"
"142372523","1500",building,,,"263"
"142372527","1500",building,,,"1125"
"142372962","1500",building,,industrial,"358"
"142372964","1500",building,,industrial,"1562"
"142372978","1500",building,,,"1159"
"142373156","1500",building,,,"624"
"142373157","1500",building,,apartments,"452"
"142373158","1500",building,,apartments,"478"
"142373159","1500",building,,,"1039"
"142373355","1500",building,,residential,"474"
"142373356","1500",building,,residential,"505"
"142373357","1500",building,,residential,"834"
"142373358","1500",building,,residential,"882"
"142373359","1500",building,,apartments,"274"
"142373360","1500",building,,residential,"611"
"142373639","1500",building,,,"1017"
"4225034","1500",building,Ospedale IRCCS Multimedica,hospital,"5341"
"144880435","1500",building,,hospital,"1177"
"144880436","1500",building,,hospital,"584"
"144880437","1500",building,,hospital,"2005"
"144880439","1500",building,,hospital,"5282"
"144880545","1500",building,,hospital,"562"
"144881001","1500",building,,,"210"
"144881002","1500",building,,,"331"
"144881330","1500",building,,,"98"
"144881331","1500",building,,,"201"
"144881332","1500",building,,,"237"
"144881333","1500",building,,,"1681"
"154819925","1500",building,,apartments,"680"
"154867700","1500",building,Teatrino Breda,roof,"72"
"165403459","1500",building,,apartments,"882"
"165403461","1500",building,,apartments,"601"
"165403472","1500",building,,apartments,"372"
"165403480","1500",building,,apartments,"829"
"165439753","1500",building,,,"126"
"173053641","1500",building,,roof,"352"
"173053642","1500",building,,,"98"
"173053644","1500",building,,,"44"
"173053645","1500",building,eni café,retail,"312"
"173053771","1500",building,,,"124"
"178679002","1500",building,,industrial,"4097"
"178679005","1500",building,,industrial,"2711"
"178679008","1500",building,,industrial,"4927"
"178679010","1500",building,,industrial,"5912"
"178679011","1500",building,,industrial,"3902"
"178679013","1500",building,,industrial,"2286"
"180623094","1500",building,,industrial,"2030"
"180623095","1500",building,,,"361"
"180623096","1500",building,,,"325"
"180623981","1500",building,,,"255"
"180987551","1500",building,,,"409"
"180987552","1500",building,,apartments,"951"
"180987553","1500",building,,,"691"
"180987554","1500",building,,apartments,"1313"
"180987555","1500",building,,,"675"
"180987557","1500",building,,,"152"
"180987559","1500",building,,,"132"
"180987562","1500",building,,house,"136"
"180987564","1500",building,,,"202"
"180989575","1500",building,,,"1505"
"180989576","1500",building,,apartments,"571"
"180989577","1500",building,,house,"180"
"180989578","1500",building,,residential,"225"
"180989579","1500",building,,house,"172"
"180989580","1500",building,,apartments,"229"
"180989581","1500",building,,apartments,"288"
"180989583","1500",building,,,"171"
"180990424","1500",building,,,"1526"
"180990425","1500",building,,,"619"
"180990426","1500",building,,,"110"
"180990427","1500",building,,apartments,"372"
"180990428","1500",building,,apartments,"366"
"180990429","1500",building,,apartments,"371"
"180990430","1500",building,,,"232"
"180990431","1500",building,,,"316"
"180990432","1500",building,,,"533"
